epoch,total,data,dir,phys,cont,geo,act,z0_reg,ro_reg,b0_reg,b1_reg,ro_change_penalty,Ro,lr_other,lr_Ro
0,44.91916656,0.042305153,0.86214608,10.58492565,7.277671814,0.892830729,0.001880122,0.914982021,0.31013155,0.007422014,0.007422014,0,0.024499999,0.0001,0.0005
1,24.18542862,0.021484893,0.838887632,4.648862839,4.604615688,0.92148304,0.001612502,0.852627397,0.304781914,0.00740962,0.00740962,0,0.024999937,0.0001,0.000499938
2,17.88476563,0.014971243,0.745462418,3.181572676,3.254995108,0.942547619,0.001635538,0.794342756,0.299518198,0.007399313,0.007397284,0,0.025499811,0.0001,0.000499875
3,14.64500332,0.012198151,0.663045764,2.479717255,2.602717638,0.952477396,0.001378336,0.738703489,0.294340342,0.007395992,0.007384968,0,0.025999624,0.0001,0.000499813
4,13.24107552,0.011651264,0.607032001,2.211929083,2.346670628,0.957235694,0.001162339,0.681401134,0.289248139,0.007397112,0.007372739,0,0.026499374,0.0001,0.00049975
5,11.9743576,0.011288635,0.585815549,1.919900894,2.126321554,0.957606912,0.001206268,0.623189986,0.284241408,0.007400704,0.007360958,0,0.026999062,0.0001,0.000499688
6,10.44123077,0.01069797,0.573662758,1.548826814,1.828491926,0.956363082,0.001195671,0.569174111,0.279320061,0.00740657,0.00734931,0,0.027498687,0.0001,0.000499625
7,9.146530151,0.010211146,0.557747364,1.263932705,1.521981835,0.953520298,0.001202962,0.522319853,0.27448386,0.007413829,0.007337903,0,0.02799825,0.0001,0.000499563
8,8.234382629,0.009983732,0.536906838,1.091482759,1.277009726,0.94616133,0.001277256,0.483348072,0.269732565,0.007420992,0.007326897,0,0.02849775,0.0001,0.0004995
9,7.552440643,0.00984171,0.51343137,0.973340571,1.105581284,0.935876369,0.001365186,0.451424628,0.265065968,0.007426094,0.007316743,0,0.028997187,0.0001,0.000499438
10,6.987005234,0.009603111,0.481230229,0.888199568,0.990409195,0.92602998,0.001351689,0.425051957,0.260483801,0.007427145,0.007307913,0,0.029496562,0.0001,0.000499375
11,6.552269459,0.009150619,0.447335929,0.837495446,0.907072902,0.919500947,0.001316723,0.402806103,0.255985767,0.007426781,0.007300425,0,0.029995874,0.0001,0.000499313
12,6.202171326,0.008405039,0.419239074,0.800165474,0.836838365,0.914199114,0.001285232,0.383665383,0.251571715,0.007425715,0.007294367,0,0.030495124,0.0001,0.00049925
13,5.872288704,0.007414648,0.405893952,0.7438761,0.767726779,0.911912143,0.001264581,0.366852343,0.247241199,0.007423986,0.007289627,0,0.030994311,0.0001,0.000499188
14,5.541344643,0.006365824,0.405361414,0.666919529,0.694273055,0.909613669,0.001199599,0.351602793,0.24299401,0.007421554,0.007285976,0,0.031493437,0.0001,0.000499125
15,5.254868031,0.005467101,0.412295431,0.592152357,0.620164454,0.905752778,0.001152072,0.337193131,0.238829762,0.007418192,0.007282963,0,0.031992499,0.0001,0.000499063
16,4.993313313,0.004869387,0.41449669,0.532399893,0.548457146,0.901801229,0.001103787,0.322809666,0.234748185,0.007413142,0.007279772,0,0.032491498,0.0001,0.000499
17,4.706427574,0.004485939,0.392504305,0.49951914,0.4912332,0.89762342,0.001018235,0.308366507,0.230748877,0.007405778,0.007277549,0,0.032990433,0.0001,0.000498938
18,4.498305321,0.004166492,0.372098804,0.482557237,0.457070559,0.891989827,0.000932543,0.293918103,0.22683154,0.00739924,0.007276559,0,0.033489309,0.0001,0.000498875
19,4.275435925,0.003819136,0.346310884,0.464257002,0.439461738,0.883870363,0.000852737,0.279575378,0.222995743,0.00739602,0.007276783,0,0.033988122,0.0001,0.000498813
20,4.053987026,0.003456792,0.327899188,0.436287463,0.415250689,0.875079989,0.000793225,0.265382707,0.219241157,0.007395245,0.007277871,0,0.034486871,0.0001,0.00049875
21,3.845377684,0.003115838,0.321179926,0.398701578,0.374220699,0.863485336,0.000764045,0.251488119,0.215567395,0.007395406,0.007279257,0,0.034985557,0.0001,0.000498688
22,3.644241095,0.002827877,0.317644775,0.358849257,0.331014693,0.850095034,0.000750612,0.238135532,0.211974069,0.007395048,0.007280618,0,0.035484184,0.0001,0.000498625
23,3.466096401,0.002595058,0.312485725,0.325193882,0.299322695,0.836220622,0.000758084,0.225508764,0.208460689,0.007394919,0.00728209,0,0.035982747,0.0001,0.000498563
24,3.303500414,0.002315482,0.300345719,0.304994673,0.277065456,0.822295666,0.000741106,0.213745549,0.20502694,0.007396506,0.007284631,0,0.036481246,0.0001,0.0004985
25,3.190452337,0.00203729,0.28715995,0.299498647,0.264250517,0.808579981,0.000707026,0.203165725,0.20167239,0.007398332,0.007288255,0,0.036979683,0.0001,0.000498438
26,3.063057899,0.001849964,0.27429226,0.288344562,0.25153926,0.792886138,0.000645201,0.193657055,0.198396623,0.007401028,0.007290875,0,0.037478056,0.0001,0.000498375
27,2.941153765,0.001687757,0.269173682,0.266843975,0.234732375,0.77872777,0.000597076,0.185486704,0.195199192,0.007403731,0.007293172,0,0.037976369,0.0001,0.000498313
