x,y,z,t,Z0,theta,eta,P,g1,g2,h1,h2,time_phase_C2,time_phase_C3,Z0_x,Z0_y,Z0_grad_norm
24.409420185925658,35.126811301460926,78.58091,9590399.752807617,72.17638,-0.0031068702,0.0030003348,-0.18027748,2.8740497,-0.30317032,-0.3656754,-0.19328678,-0.016646475,0.34090266,0.17135388,-0.025119614,0.17318529
24.068840433535758,35.050724689208764,75.1399,1123200.0247836113,71.73497,-0.044353552,-0.028083965,-0.48169363,-0.6095558,2.6104624,-0.1630665,-0.08306054,0.4280654,-0.16137704,-0.017467495,0.18298179,0.18381362
24.268116089179838,35.07971042955572,81.07262,5615999.781131744,72.46156,-0.00038668225,-0.00034130018,0.14528227,-1.2826926,-0.12783894,0.37925443,0.35988134,0.38266692,0.19364265,-0.105503745,-0.03017017,0.10973277
24.264492787947336,35.06521739309379,75.914215,2678400.0643730164,72.40279,-0.041999735,-0.008823577,-0.2053396,-0.77254564,1.5273906,-0.12032349,0.13715294,-0.052112177,-0.1115189,-0.07781772,0.21899186,0.23240703
24.51086948471318,35.141304337922854,75.965324,5529600.07982254,73.06633,0.07329688,0.069940545,-0.05814077,0.21177836,0.08425241,-0.32332292,0.44722286,0.018463347,0.06718701,0.119689874,0.057630613,0.13284184
24.641304357168043,34.938405387540406,81.3883,2159999.936914444,71.51888,0.00011746028,0.00013264765,-0.2629569,-0.79060566,1.1014028,0.1342994,0.050820332,0.015678722,0.3657767,-0.07750122,0.15109192,0.16980933
24.442029139218562,35.043478080275,76.86345,5356800.128746033,72.52713,-0.001394026,-0.002701432,-0.24772657,1.0320164,0.24145164,0.026561417,0.18483603,-0.11649514,0.013493523,0.25784853,0.04016963,0.26095876
24.579710091518006,35.06884069756067,84.24473,4406400.123596191,72.47643,4.1794715e-06,-2.0055571e-05,0.39264375,-0.47809184,0.6695013,0.15762223,-0.23882985,-0.10019926,-0.0110360235,-0.14253639,0.15757342,0.2124759
24.521739153231497,35.18115965909355,80.50853,6307200.133895874,72.4231,0.00041622674,0.00057026563,-0.18739015,2.0528083,0.55954844,0.16246153,-0.26347327,-0.20264074,0.06934193,0.13532902,0.024182882,0.13747275
24.782608845879178,35.07246365433351,80.82854,14601599.979400635,72.635704,0.0006204232,-0.00062047085,-0.25012088,0.17728528,0.51774925,0.2831923,0.08703825,-0.030994862,0.2602979,0.034493703,0.08576272,0.09243949
24.271739312019278,35.0833337340226,74.97577,4060799.9472141266,72.41751,-0.07778766,-0.09421911,-0.51037556,0.55304295,0.93504906,-0.0140785575,0.16058993,-0.23632604,-0.17851475,0.09197653,0.13182229,0.16073829
