u_true,u_pred,v_true,v_pred,date
-0.01754151,-0.011597646,-0.005413718,-0.004495755,2023-05-29
-0.008890174,-0.0026135538,0.01666576,0.007805312,2023-06-10
0.067830704,0.039095405,-0.051164944,-0.025073025,2023-07-26
-0.02929777,-0.0069877747,0.0198503,0.013222162,2023-06-01
0.032216933,0.011958286,-0.03861255,-0.016731799,2023-08-28
0.02598054,0.012304944,-0.035507623,-0.023936864,2023-07-12
0.034844175,0.01993065,-0.012472782,-0.010165274,2023-07-19
-0.022716386,-0.010808015,-0.009102477,0.0069731977,2023-09-27
-0.051536474,-0.029299619,0.01066821,0.0006475691,2023-04-17
-0.019744148,-0.012550695,0.017621122,0.02093745,2023-05-21
0.03569339,0.02672562,-0.017700735,-0.013457514,2023-07-28
0.001433043,0.006507395,-0.028501634,-0.018685415,2023-06-09
0.003847986,0.006713899,-0.023671748,-0.022892911,2023-07-19
0.024951708,0.015580807,-0.041527778,-0.025141664,2023-08-25
-0.026697062,-0.014748706,0.010508982,0.008398993,2023-05-30
0.019399157,0.014446891,-0.090865545,-0.037854824,2023-09-07
-0.0031314644,0.00092563033,-0.07053757,-0.03259742,2023-09-12
-0.016214617,-0.026665146,0.016931139,0.020439617,2023-04-27
-0.014887725,-0.030812448,0.012127791,0.0075293416,2023-05-24
0.0004511432,-0.026226146,0.0050156508,0.011580705,2023-04-26
0.02645822,0.031531386,-0.02022183,-0.0309578,2023-08-11
-0.010429369,-0.027216168,0.0057056346,0.0072387774,2023-04-05
-0.020142216,-0.0154689755,-0.011066277,-0.0039347317,2023-05-08
-0.014808112,-0.016067287,-0.0064486936,-0.0094298385,2023-04-02
0.005307567,0.0065787006,-0.03614453,-0.02481224,2023-07-12
-0.026856288,-0.024554154,0.015285793,0.01731984,2023-04-15
0.018337643,0.010906724,-0.06804301,-0.029793065,2023-09-14
-0.010721285,-0.03337588,-0.0120481765,-0.013893608,2023-03-15
0.025582472,0.016574513,-0.055676375,-0.019257072,2023-09-04
0.05806478,0.016552046,-0.0377368,-0.0136494,2023-08-08
-0.01616154,-0.05400855,-0.026829751,-0.06570288,2023-04-25
-0.03112888,-0.027492018,-0.018072264,-0.0046927966,2023-05-01
0.023432909,0.009786466,-0.029244693,-0.027252525,2023-08-06
0.057268646,0.015160601,-0.069794506,-0.01898297,2023-07-08
-0.04179709,-0.025690174,-0.005917937,-0.001018567,2023-04-30
7.961351e-05,0.0030891746,-0.020911813,-0.0205549,2023-09-06
0.02916508,0.019615514,-0.029430458,-0.01747661,2023-07-13
0.009872074,0.007027652,0.0020434132,0.0035499018,2023-03-11
0.034048043,0.020033192,0.00453797,-0.0009270329,2023-06-23
0.017010752,0.021035992,-0.026139766,-0.010370698,2023-06-25
0.0062894667,0.007791765,0.007191753,0.0073187044,2023-03-05
0.01727613,0.015131314,-0.062470064,-0.025951333,2023-09-12
0.012977001,0.013032208,-0.024919026,-0.021869231,2023-09-02
0.037657186,0.01675554,-0.022822538,-0.0084456485,2023-07-02
0.042778987,0.021567272,-0.020168753,-0.010288114,2023-07-07
0.030783888,0.014815323,-0.047025044,-0.020965204,2023-06-25
-0.020248368,-0.011949813,0.0367549,0.016362142,2023-05-27
-0.006316005,-0.019211294,-0.018231492,-0.011699103,2023-04-26
-0.027148204,-0.019996969,-0.016241154,-0.0058994647,2023-05-06
0.04325667,0.02324699,-0.00833288,-0.0053136274,2023-07-29
-0.0011411268,-0.016596744,0.0027599349,0.022426963,2023-03-11
-0.007934812,-0.0082983505,0.015604246,0.005573621,2023-05-25
0.04606968,0.027401589,-0.0055729453,-0.006757088,2023-07-24
0.00082267285,-0.0070858058,-0.0061833155,-0.0008869376,2023-09-17
-0.028448557,-0.031213557,-0.0032906914,-0.005387148,2023-04-13
-0.004352205,0.004848689,-0.00416644,-0.0014926475,2023-03-21
0.0067936857,0.006199263,-0.036489524,-0.030760966,2023-08-28
-0.025343632,-0.018231032,0.007005988,0.006652287,2023-05-21
-0.010270142,-0.00860391,-0.020911813,-0.015961848,2023-09-25
0.023220604,0.01983433,-0.010827436,-0.016595908,2023-08-22
-0.04007213,-0.050268136,0.0028395483,-0.0026449133,2023-04-10
0.013507757,0.009060608,-0.0042460533,-0.0023841038,2023-06-14
0.012287017,0.0025495123,-0.04410588,-0.022542492,2023-09-18
-0.016957676,-0.018439712,-0.014277355,-0.009074217,2023-04-06
-0.01738228,-0.01562606,-0.008784023,-0.01076261,2023-04-26
0.02253062,0.007158773,-0.010190529,-0.013162665,2023-06-13
0.035189167,0.021349635,-0.020885276,-0.025273737,2023-08-23
-0.0141181275,-0.014761237,0.0030253131,0.01023876,2023-04-08
