epoch,total,data,dir,phys,cont,geo,act,z0_reg,ro_reg,b0_reg,b1_reg,ro_change_penalty,Ro,lr_other,lr_Ro
0,47.6739387512207,0.03120572865009308,1.015674114227295,10.85803508758545,8.685750961303711,0.9826869368553162,0.0013376415008679032,0.6514858603477478,0.3101315498352051,0.00742201367393136,0.00742201367393136,0.0,0.02449999935925007,0.0001,0.0005
1,26.804903030395508,0.01565862074494362,0.9562123417854309,5.428874492645264,4.5181121826171875,0.990302324295044,0.000991485663689673,0.6181839108467102,0.3047691881656647,0.007434422615915537,0.007409620098769665,0.0,0.024999916553497314,0.0001,0.0004999166666666667
2,19.950010299682617,0.013115772977471352,0.8888533711433411,3.6584584712982178,3.3654444217681885,0.9918947219848633,0.0007691355422139168,0.5827829241752625,0.2994934320449829,0.007445700000971556,0.007397330831736326,0.0,0.025499749928712845,0.0001,0.0004998333333333334
3,16.195323944091797,0.013362113386392593,0.78523850440979,2.756096363067627,2.8720858097076416,0.9885316491127014,0.0006665097316727042,0.5517601370811462,0.29430413246154785,0.007457455154508352,0.007385081611573696,0.0,0.02599949948489666,0.0001,0.0004997500000000001
4,13.396770477294922,0.01406371220946312,0.6822192668914795,2.1693432331085205,2.380127429962158,0.984358012676239,0.0005588345811702311,0.5234891176223755,0.28920111060142517,0.007469336036592722,0.007373037748038769,0.0,0.02649916522204876,0.0001,0.0004996666666666667
5,11.601006507873535,0.01471034437417984,0.6073998212814331,1.8693957328796387,1.889406442642212,0.9695093631744385,0.0005348131526261568,0.497259259223938,0.2841842472553253,0.007481013890355825,0.007361376658082008,0.0,0.026998749002814293,0.0001,0.0004995833333333333
6,10.516002655029297,0.014988807030022144,0.5680895447731018,1.7035421133041382,1.531761646270752,0.9464645981788635,0.00047804860514588654,0.4724472165107727,0.2792532742023468,0.007489956449717283,0.007350229658186436,0.0,0.02749824896454811,0.0001,0.0004995
7,9.668486595153809,0.014715935103595257,0.5419297218322754,1.539652705192566,1.341089129447937,0.9231928586959839,0.0004021418571937829,0.44931820034980774,0.27440789341926575,0.007495351135730743,0.007340057287365198,0.0,0.027997665107250214,0.0001,0.0004994166666666667
8,8.824592590332031,0.014112093485891819,0.505981981754303,1.3581455945968628,1.2551124095916748,0.9002394080162048,0.0003275930357631296,0.42841005325317383,0.2696480453014374,0.007497119717299938,0.0073307412676513195,0.0,0.02849699929356575,0.0001,0.0004993333333333334
9,8.051013946533203,0.01329096220433712,0.4753270149230957,1.1862969398498535,1.1816803216934204,0.8824875950813293,0.00021885921887587756,0.4099688231945038,0.26497334241867065,0.0074962046928703785,0.007322581019252539,0.0,0.02899624966084957,0.0001,0.00049925
10,7.3907856941223145,0.01239770371466875,0.4527207016944885,1.0491340160369873,1.0746639966964722,0.8681269884109497,0.00013819352898281068,0.393618106842041,0.26038357615470886,0.007493811193853617,0.0073156277649104595,0.0,0.029495416209101677,0.0001,0.0004991666666666666
11,6.88916015625,0.011574518866837025,0.44154101610183716,0.9512019157409668,0.9484133720397949,0.8590412139892578,7.04093836247921e-05,0.37872397899627686,0.2558784484863281,0.007490813732147217,0.0073098074644804,0.0,0.029994498938322067,0.0001,0.0004990833333333334
12,6.518206596374512,0.010872429236769676,0.4389131963253021,0.8766357898712158,0.8377481698989868,0.8521126508712769,5.499040707945824e-05,0.3646746575832367,0.25145766139030457,0.007488040253520012,0.007305128499865532,0.0,0.03049349971115589,0.0001,0.000499
13,6.196771621704102,0.010286083444952965,0.4380749762058258,0.8045015931129456,0.7589403390884399,0.8460362553596497,6.853196100564674e-05,0.3510628938674927,0.24712088704109192,0.007486286107450724,0.007301423233002424,0.0,0.030992416664958,0.0001,0.0004989166666666667
14,5.849320411682129,0.009820379316806793,0.4310804307460785,0.7257058620452881,0.7039070129394531,0.8405218720436096,8.570853242417797e-05,0.3376067876815796,0.2428678274154663,0.007485946640372276,0.007298508659005165,0.0,0.031491249799728394,0.0001,0.0004988333333333333
15,5.519580364227295,0.009388028644025326,0.4263988137245178,0.6465263962745667,0.6560695171356201,0.8346866965293884,7.851946429582313e-05,0.3241869807243347,0.23869815468788147,0.0074860225431621075,0.0072965677827596664,0.0,0.03198999911546707,0.0001,0.0004987500000000001
16,5.218918323516846,0.008954164572060108,0.42286768555641174,0.5780760645866394,0.5998201966285706,0.8269561529159546,7.59555769036524e-05,0.3105970621109009,0.23461143672466278,0.007485838141292334,0.007295564282685518,0.0,0.03248866647481918,0.0001,0.0004986666666666667
17,4.940095901489258,0.008469355292618275,0.41529613733291626,0.5269163846969604,0.5340812802314758,0.8192870616912842,6.52918461128138e-05,0.29686665534973145,0.23060736060142517,0.007484617177397013,0.007295642979443073,0.0,0.03298724815249443,0.0001,0.0004985833333333333
18,4.6808695793151855,0.007948041893541813,0.403251588344574,0.490074098110199,0.46788856387138367,0.809881865978241,4.3165931856492534e-05,0.2831037640571594,0.22668559849262238,0.007482029497623444,0.007296689786016941,0.0,0.03348574787378311,0.0001,0.0004985
19,4.447833061218262,0.007451960351318121,0.3893704116344452,0.4608094096183777,0.4141716957092285,0.7985362410545349,3.3269665436819196e-05,0.26962554454803467,0.222845658659935,0.007478080224245787,0.0072982702404260635,0.0,0.033984165638685226,0.0001,0.0004984166666666666
20,4.242893695831299,0.0069992318749427795,0.37509483098983765,0.43515893816947937,0.37872737646102905,0.786467969417572,3.782176281674765e-05,0.25687554478645325,0.21908722817897797,0.007473427336663008,0.00730018550530076,0.0,0.03448249772191048,0.0001,0.0004983333333333334
21,4.039745807647705,0.006578139960765839,0.35708630084991455,0.4119417071342468,0.3553362488746643,0.7735345363616943,4.2901901906589046e-05,0.2451598197221756,0.21540987491607666,0.007468706928193569,0.0073024514131248,0.0,0.03498074784874916,0.0001,0.00049825
22,3.8559131622314453,0.006173877511173487,0.3406389057636261,0.39101311564445496,0.33494833111763,0.7620693445205688,5.934279033681378e-05,0.2345687448978424,0.21181321144104004,0.007463987451046705,0.007305150851607323,0.0,0.03547891601920128,0.0001,0.0004981666666666666
23,3.695819616317749,0.005765141453593969,0.32795271277427673,0.3717085123062134,0.3131231963634491,0.7523102760314941,8.396356861339882e-05,0.22503550350666046,0.20829671621322632,0.007459037937223911,0.007308479864150286,0.0,0.03597699850797653,0.0001,0.0004980833333333333
