x,y,u_pred,v_pred,Z0,t
0.3057852,0.450001,0.017492501,-0.006310098,0.09490967,0.5023474
0.38429734,0.42857245,-0.0071361475,-0.01488186,0.2552622,0.9953052
0.41322288,0.5142856,0.0023611411,-0.0052778125,0.10996037,0.52582157
0.38429743,0.7214288,0.008106519,-0.020829502,-0.025731862,0.38497654
0.31404963,0.60000056,0.030041719,-0.010889832,0.0432576,0.5915493
0.70247924,0.6500004,0.021580014,-0.022364158,0.02448872,0.4460094
0.46280977,0.5571431,0.016141012,-0.004249297,-0.04415404,0.48356807
0.30991727,0.3285714,-0.067297354,-0.014458589,-0.103736654,0.22065727
0.40082648,0.37857157,0.010631744,-0.0018289201,0.13523242,0.52112675
0.59504145,0.40000048,0.020047475,-0.025062677,0.1313201,0.7370892
0.2727272,0.15000057,0.04205129,-0.012576815,-0.16580158,0.7089202
0.40495867,0.5714286,0.024735304,-0.008121561,0.08247505,0.57276994
0.6115701,0.57142824,0.02151603,-0.02420688,0.22451903,0.7276995
0.7066112,0.47857195,0.023216598,-0.016313449,0.07636536,0.69953054
0.5785122,0.5642858,0.019585006,-0.020611841,0.24891776,0.7183099
0.8884298,0.42857143,-0.0068793,0.009755781,0.09895143,0.9483568
0.0,0.6642862,-0.06323454,-0.09590143,-0.057725526,0.13615024
0.7066114,0.25714335,0.011620274,0.00046535395,-0.017051943,0.46948355
0.7066112,0.47857195,-0.01738521,0.0067861658,0.03385969,0.38497654
0.2727272,0.15000057,0.013778077,-0.033192452,-0.14630193,0.8403756
0.2727272,0.15000057,0.038066827,-0.015297256,-0.16728498,0.74647886
0.40495867,0.5714286,0.02328037,-0.011495475,0.17778215,0.7089202
0.16942155,0.47857162,0.016205814,-0.046466384,0.09714254,0.07042254
0.14876023,0.5428573,-0.088116944,-0.070720136,-0.16739593,0.02347418
0.46280968,0.53571385,0.020497179,-0.0019259006,0.093112744,0.52112675
0.07437987,0.38571465,-0.03989179,-0.04680461,-0.056370817,0.061032865
0.30165294,0.44285792,-0.048190583,-0.019393023,-0.08460167,0.3051643
0.29752058,0.41428596,-0.026534226,-0.01924682,-0.06595583,0.14553991
0.5785122,0.5642858,-0.02857859,0.008096663,0.040824715,0.3004695
0.7272726,0.16428535,-0.0030546933,-0.01742319,-0.029387072,0.11737089
0.50000006,0.3714285,-0.025463898,-0.0053241365,0.0036040395,0.29107982
0.6570246,0.42142904,-0.035721723,0.0028229374,0.021766506,0.23943663
0.590909,0.6428577,0.004488766,-0.019779932,-0.011696592,0.342723
0.8884298,0.42857143,0.020615935,-0.013619997,0.11994362,0.7934272
0.3057852,0.450001,-0.057664517,-0.007025901,-0.015963346,0.22065727
0.4586778,0.257143,0.012678273,-0.031240314,-0.030395783,0.57276994
0.46280986,0.34285754,-0.028287578,-0.011471424,0.06204328,0.15492958
0.97520673,0.8999996,0.038287915,-0.020251293,0.16371012,0.69483566
0.29752058,0.41428596,0.020273125,-0.0119427405,0.15900275,0.59624416
0.14876023,0.5428573,0.024459392,-0.0035537407,-0.024190508,0.57746476
0.6239668,0.4357152,0.020918008,-0.024088752,0.03385926,0.5399061
0.30165294,0.44285792,0.0041256063,-0.02333659,0.09652299,0.8544601
0.39669403,1.0,0.030778304,-0.023244336,0.28711897,0.8262911
0.41735524,0.4928571,-0.016617488,-0.007983241,-0.1233767,0.04225352
0.19123036,0.4956354,0.0014021248,-0.023573358,0.28034472,0.97183096
0.5991733,0.4428576,0.021604862,-0.022262778,0.13345405,0.58685446
0.8264462,0.5928571,0.02256638,-0.010252956,0.19998293,0.75586855
0.45454535,0.42857143,-0.028071519,-0.008489672,-0.013279077,0.33333334
0.19123036,0.4956354,-0.05627242,-0.019414611,-0.12665035,0.23474178
0.6652892,0.357143,0.012514763,-0.027386885,0.045062948,0.8826291
0.46280968,0.53571385,0.023362458,-0.015730686,0.22996143,0.7276995
0.19008258,0.5214287,-0.06586549,-0.041156616,-0.09128001,0.15962441
0.65289235,0.7285712,-0.0123987645,0.01093461,0.028158836,0.3568075
0.8264462,0.5928571,-0.0137142725,0.008088879,0.024293037,0.31924883
0.6239668,0.4357152,0.014036236,-0.02012121,0.032856412,0.38967136
0.19123036,0.4956354,-0.04200777,-0.029101737,-0.073205225,0.33333334
0.58264464,0.58571404,0.018165462,-0.028681893,0.2767439,0.8028169
0.7438015,0.4785723,0.019373944,-0.022829589,0.005373679,0.6103286
0.32231376,0.6071433,0.045696996,-0.019859027,-0.08165616,0.52112675
0.3677686,0.3928574,-0.021915037,-0.022027854,-0.074495465,0.27230048
0.41735524,0.4928571,0.016968185,-0.013959128,-0.025290065,0.46478873
0.6652892,0.357143,-0.0029370263,0.0010848548,-0.053473853,0.065727696
0.7438015,0.4785723,0.018449903,-0.020730477,0.019549344,0.5539906
0.6239668,0.4357152,0.0140965115,-0.01981248,0.026479868,0.37089202
0.19008258,0.5214287,0.030849403,-0.01797143,0.1713234,0.7699531
0.59504145,0.40000048,0.0062151216,-0.025606152,0.031709008,0.40375587
0.5289253,0.4928571,-0.013747118,-0.02245051,0.00422642,0.29107982
0.5950412,0.31428593,0.020378403,-0.021540083,0.059458572,0.8028169
0.53305775,0.5571431,-0.015762184,0.0055021327,-0.018046536,0.3802817
0.7272726,0.16428535,0.024511538,-0.031415712,0.04417083,0.74178404
0.26446256,0.4785723,0.029419571,-0.034284066,-0.19866727,0.6760563
0.7066112,0.47857195,-0.021429755,-0.0001946073,0.0071762577,0.30985916
0.76859474,0.44285792,0.013551936,-0.030843385,-0.06785397,0.685446
0.42148742,0.47857162,-0.038762037,0.0067764614,0.048344243,0.09859155
0.5785122,0.5642858,-0.03324471,-0.008035574,-0.00332319,0.21596244
