x,y,u_pred,v_pred,Z0,t
0.3057852,0.450001,0.018528346,-0.007584663,0.13214211,0.5023474
0.38429734,0.42857245,0.0028863363,-0.016579665,0.03427222,0.9953052
0.41322288,0.5142856,0.0008289423,-0.009506624,0.039701216,0.52582157
0.38429743,0.7214288,0.008542692,-0.022878828,0.019286389,0.38497654
0.31404963,0.60000056,0.018981261,-0.020607999,-0.030423038,0.5915493
0.70247924,0.6500004,0.020842941,-0.015539829,0.020211333,0.4460094
0.46280977,0.5571431,0.008794819,-0.0013379967,-0.0065272907,0.48356807
0.30991727,0.3285714,-0.036652632,-0.017585335,-0.0015009821,0.22065727
0.40082648,0.37857157,0.0031309724,-0.013810204,0.0844062,0.52112675
0.59504145,0.40000048,0.022822889,-0.019573713,0.022276241,0.7370892
0.2727272,0.15000057,0.031119548,-0.008166717,-0.02402814,0.7089202
0.40495867,0.5714286,0.014658244,-0.016653217,0.004330428,0.57276994
0.6115701,0.57142824,0.027238762,-0.021472597,0.018876504,0.7276995
0.7066112,0.47857195,0.02541223,-0.018706387,0.020126518,0.69953054
0.5785122,0.5642858,0.03190755,-0.019253472,0.053529132,0.7183099
0.8884298,0.42857143,-0.00043666363,0.011099983,0.033972535,0.9483568
0.0,0.6642862,-0.07144146,-0.08656622,-0.06957465,0.13615024
0.7066114,0.25714335,0.00837804,0.0038129091,0.02366103,0.46948355
0.7066112,0.47857195,-0.024776729,0.012210825,0.013287292,0.38497654
0.2727272,0.15000057,0.01223846,-0.030459875,-0.0154386675,0.8403756
0.2727272,0.15000057,0.02898556,-0.011357652,-0.017797086,0.74647886
0.40495867,0.5714286,0.02068494,-0.013915848,-0.013633534,0.7089202
0.16942155,0.47857162,0.011161579,-0.043978512,-0.05070078,0.07042254
0.14876023,0.5428573,-0.06268958,-0.048872642,-0.013666818,0.02347418
0.46280968,0.53571385,0.016722722,-0.0070834868,0.02880872,0.52112675
0.07437987,0.38571465,-0.028491901,-0.027993107,0.0027383517,0.061032865
0.30165294,0.44285792,-0.037419908,-0.023196978,-0.0515971,0.3051643
0.29752058,0.41428596,-0.023695184,-0.018349068,0.05316018,0.14553991
0.5785122,0.5642858,-0.024667447,0.01658632,0.02423004,0.3004695
0.7272726,0.16428535,-0.004901128,-0.024880862,-0.02646758,0.11737089
0.50000006,0.3714285,-0.030526338,-0.010852976,0.008475558,0.29107982
0.6570246,0.42142904,-0.035117805,0.003536867,0.01750528,0.23943663
0.590909,0.6428577,0.0059725493,-0.013950318,0.015240403,0.342723
0.8884298,0.42857143,0.02880022,-0.011431651,0.037558492,0.7934272
0.3057852,0.450001,-0.05238484,-0.004163677,0.07492224,0.22065727
0.4586778,0.257143,0.016020047,-0.023851769,-0.032401476,0.57276994
0.46280986,0.34285754,-0.019673685,-0.0033303667,0.047909964,0.15492958
0.97520673,0.8999996,0.041377015,-0.011050038,0.009550704,0.69483566
0.29752058,0.41428596,0.013264077,-0.012096062,0.10786564,0.59624416
0.14876023,0.5428573,0.022068808,-0.0074652676,-0.085029125,0.57746476
0.6239668,0.4357152,0.010050064,-0.024054727,0.008661868,0.5399061
0.30165294,0.44285792,0.019056182,-0.025335783,-0.058235675,0.8544601
0.39669403,1.0,0.025029238,-0.024032308,-0.02542129,0.8262911
0.41735524,0.4928571,-0.013873966,-0.0073491596,0.024817301,0.04225352
0.19123036,0.4956354,0.011911153,-0.015923671,-0.022594418,0.97183096
0.5991733,0.4428576,0.018173477,-0.019354248,0.05238152,0.58685446
0.8264462,0.5928571,0.032503724,-0.013793211,0.054187614,0.75586855
0.45454535,0.42857143,-0.023183336,-0.0077839755,0.017201038,0.33333334
0.19123036,0.4956354,-0.033760607,-0.0140789915,-0.00048733858,0.23474178
0.6652892,0.357143,0.013225651,-0.027787058,0.02171782,0.8826291
0.46280968,0.53571385,0.02540874,-0.015684651,0.009769065,0.7276995
0.19008258,0.5214287,-0.03394454,-0.021838931,0.09760449,0.15962441
0.65289235,0.7285712,-0.00826915,0.006703581,0.05411671,0.3568075
0.8264462,0.5928571,-0.022672115,0.014802085,0.04517396,0.31924883
0.6239668,0.4357152,0.0074181017,-0.015231697,0.019387204,0.38967136
0.19123036,0.4956354,-0.015147788,-0.02561581,-0.0011940133,0.33333334
0.58264464,0.58571404,0.0262511,-0.026001243,0.026530288,0.8028169
0.7438015,0.4785723,0.018217415,-0.018089714,0.02558975,0.6103286
0.32231376,0.6071433,0.030262506,-0.017278403,-0.05989706,0.52112675
0.3677686,0.3928574,-0.0189387,-0.025179027,-0.033180483,0.27230048
0.41735524,0.4928571,0.010371867,-0.013777642,-0.04238406,0.46478873
0.6652892,0.357143,-0.004661424,0.006673511,0.020517625,0.065727696
0.7438015,0.4785723,0.017768007,-0.010955241,0.029683666,0.5539906
0.6239668,0.4357152,0.006914621,-0.012953294,0.022422526,0.37089202
0.19008258,0.5214287,0.019550808,-0.009444345,0.045175,0.7699531
0.59504145,0.40000048,-0.00024939142,-0.018198328,-0.00036286487,0.40375587
0.5289253,0.4928571,-0.015292553,-0.014161777,0.01188602,0.29107982
0.5950412,0.31428593,0.025418242,-0.018240096,0.019083587,0.8028169
0.53305775,0.5571431,-0.020216415,0.0072216354,-0.004123526,0.3802817
0.7272726,0.16428535,0.027804144,-0.019072836,0.028540546,0.74178404
0.26446256,0.4785723,0.026012903,-0.023512987,0.013866686,0.6760563
0.7066112,0.47857195,-0.029267328,0.006466565,0.0120165935,0.30985916
0.76859474,0.44285792,0.014747518,-0.025794612,0.021928411,0.685446
0.42148742,0.47857162,-0.015584486,0.015435253,0.052039847,0.09859155
0.5785122,0.5642858,-0.027666265,0.0017182827,0.031309027,0.21596244
0.31818148,0.5000002,-0.035824224,-0.0022254754,0.077296436,0.40375587
0.8553717,0.5785706,0.008999584,-0.014606481,0.04246251,0.5915493
0.41735524,0.4928571,0.0028218552,-0.026147598,-0.03031473,1.0
0.590909,0.6428577,0.009839249,-0.011267258,0.037350968,0.056338027
0.38429743,0.7214288,0.017865472,-0.027046503,0.025970224,0.600939
0.2727272,0.15000057,0.013746757,-0.028643692,-0.015363739,0.8309859
0.30991727,0.3285714,-0.023090089,-0.02229601,-0.014071527,0.41784036
0.8553717,0.5785706,-0.0020307042,0.008841367,0.058376767,0.4741784
0.07437987,0.6357146,0.035825055,-0.014949597,-0.1199836,0.69014084
0.16942136,0.17142911,-0.0114952605,0.010253252,-0.08410677,0.43192488
0.9338841,0.5214294,0.025501471,-0.025211414,0.037349537,0.8450704
0.8884295,0.41428664,0.020148544,-0.021530056,0.059065077,0.62441313
0.45454535,0.42857143,0.020835409,-0.015840696,0.038096435,0.657277
0.45454535,0.42857143,-0.0066480692,0.0032008681,0.036280535,0.9859155
0.38016498,0.5357156,-0.032844104,-0.0043446217,0.0055035665,0.22065727
0.97520673,0.8999996,-0.024191862,0.016340733,0.089797944,0.3802817
0.31404963,0.60000056,0.024967764,-0.014967445,-0.04431238,0.69953054
0.3677686,0.3928574,0.003127113,-0.02747796,-0.041222554,0.46948355
0.8305783,0.28571463,0.016304368,-0.017500902,0.023888445,0.657277
0.19123036,0.4956354,0.017993867,-0.017382896,-0.02744552,0.8309859
0.681818,0.1785722,-0.012188086,0.008054042,0.005381866,0.4225352
0.07437987,0.38571465,0.0063227518,-0.032471955,0.0030284934,0.8920188
0.7272726,0.16428535,0.016523859,-0.03440863,0.058797423,0.91549295
0.7479336,0.55714345,-0.019664457,0.015038627,0.038648598,0.26760563
0.7066112,0.47857195,-0.023432864,0.013267134,0.01374309,0.3943662
0.8884295,0.41428664,-0.024754295,0.0034004608,0.047629282,0.26291078
0.27272707,0.82857054,0.024457512,-0.031139722,-0.07735024,0.7652582
0.7066112,0.47857195,-0.026538694,0.011890654,0.02044226,0.16431925
0.45454535,0.42857143,-0.02329346,-0.010487396,0.014571289,0.31924883
0.17768589,0.33571517,-0.018802797,-0.01663322,-0.06456437,0.15023474
0.8305783,0.28571463,0.014950023,-0.019136636,0.01869244,0.62441313
0.7479336,0.55714345,-0.021911794,0.013304441,0.03706677,0.2112676
0.30165294,0.44285792,0.014543468,-0.029421171,-0.03542066,0.92488265
0.15702456,0.38571364,-0.07418894,-0.021317812,-0.024424985,0.065727696
0.31404954,0.65000004,0.009191102,-0.021727966,-0.07051809,0.8779343
0.681818,0.1785722,0.039161373,-0.029603014,0.009290628,0.75117373
0.06611534,0.7500008,-0.043089464,-0.0564116,0.059246175,0.25821596
0.59504145,0.40000048,-0.017799264,-0.0039460603,-0.001562201,0.28638497
0.42148763,0.0,0.039510064,-0.04144217,-0.0076057576,0.74178404
0.3677686,0.3928574,0.015994553,-0.02890349,-0.034945074,0.6056338
0.44214866,0.39285773,-0.029114248,0.0024575982,0.0015965609,0.28169015
0.55785125,0.37857157,0.006226572,-0.024767397,0.024733176,0.8873239
0.6487604,0.55000037,0.022473827,-0.020200526,0.0035164685,0.62910795
0.7438015,0.4785723,0.003993489,0.003650343,0.03235585,0.04694836
0.44214866,0.39285773,0.024572318,0.009567121,0.004819678,0.53521127
0.3057852,0.450001,0.019051779,-0.01207835,0.12917206,0.54460096
0.55785125,0.37857157,0.007945354,0.0063107186,0.030490445,0.018779343
0.70247924,0.6500004,0.0061246045,-0.03393709,-0.023599159,0.91549295
0.7438015,0.4785723,0.0200775,-0.0331484,0.0159365,0.8685446
0.38429734,0.42857245,0.010369053,-0.014221907,0.067381255,0.57746476
0.4917356,0.4142849,0.020712037,-0.010274854,0.026834631,0.600939
0.3677686,0.3928574,0.012707471,-0.030047918,-0.032910768,0.54460096
0.29752058,0.41428596,-0.014356339,0.009740713,0.1135978,0.4084507
0.590909,0.6428577,-0.0064598154,-0.010536686,0.023611864,0.26291078
0.38429734,0.42857245,-0.031712778,-0.020636776,0.037239853,0.30985916
0.65289235,0.7285712,0.031845544,-0.012521675,0.02228986,0.70422536
0.9338841,0.5214294,-0.0102900285,0.013563575,0.0332018,0.04694836
0.58264464,0.58571404,-0.00904162,0.010093701,0.028553588,0.39906102
0.19008258,0.5214287,0.020930806,-0.0016994067,0.09160762,0.68075114
0.9090907,0.34999993,0.008064324,-0.005081646,0.05146585,0.9389671
0.40495867,0.5714286,-0.046350777,-0.0027072765,-0.009025782,0.20187794
0.57024807,0.1785729,-0.0045755412,-0.0027146023,-0.01439385,0.09389672
0.46280986,0.34285754,0.007931913,-0.024848307,0.05028272,0.8450704
0.6570246,0.42142904,-0.018606065,0.004462708,0.013348979,0.3802817
0.46280986,0.34285754,-0.0044514425,-0.024450319,0.062493403,0.97652584
0.59504145,0.40000048,0.023115547,-0.018942045,0.021615993,0.8169014
0.3057852,0.450001,-0.05535896,-0.0022944268,0.067278884,0.18779343
0.4917356,0.4142849,0.0056135347,-0.0013435474,0.026350297,0.49295774
0.681818,0.1785722,0.019643461,-0.039635547,0.050877374,0.943662
0.45454535,0.42857143,-0.017859055,-0.017038815,-0.0015843261,0.16901408
0.42148763,0.0,-0.033437915,-0.010766681,-0.0022838938,0.26291078
0.31404954,0.65000004,0.014758191,-0.008505346,-0.039760478,0.48826292
0.8884295,0.41428664,0.033684548,-0.02427808,0.042162977,0.82159626
0.71074355,0.40000048,-0.018939672,0.006682118,0.024362002,0.17840375
0.4917356,0.4142849,0.014317576,-0.015977915,0.027059926,0.8826291
0.31404954,0.65000004,0.017813517,-0.009186419,-0.03821063,0.4976526
0.6239668,0.4357152,0.015037468,-0.023838175,0.006715852,0.5633803
0.57024777,0.121429615,0.00610123,-0.0108790435,0.034205828,0.86384976
1.0,0.514286,0.035818174,-0.010666151,0.07484888,0.68075114
0.40495867,0.5714286,-0.029727949,0.003318944,-0.011808954,0.3004695
0.41322288,0.5142856,0.0042991303,-0.011942439,0.00571395,1.0
0.47933862,0.55,-0.026850982,0.012071068,0.016408144,0.028169014
0.4917353,0.38571465,-0.011695428,-0.016033681,-0.0047673862,0.16901408
0.46280968,0.53571385,-0.019912561,-0.010413071,0.017139394,0.15023474
0.46280986,0.34285754,0.018796789,-0.010385161,0.052083958,0.68075114
0.5950412,0.31428593,-0.014622891,0.018426444,-0.0031855255,0.45070422
0.17768589,0.33571517,-0.024751956,-0.017151324,-0.08905522,0.23943663
0.97520673,0.8999996,0.010398192,0.026681086,0.08625327,0.0
0.38016516,0.8071427,0.019796321,-0.018284144,0.0373326,0.8262911
0.3057852,0.450001,-0.03646349,-0.008031394,0.10040757,0.31924883
0.7438015,0.4785723,-0.012681069,-0.005872585,0.03472576,0.35211268
0.33057818,0.5428566,-0.041878484,-0.030012766,0.039164044,0.02347418
0.46280986,0.34285754,0.00767624,-0.02407174,0.05840312,0.8920188
0.50000006,0.3714285,-0.018712701,-0.0035070125,-0.005240156,0.12676056
0.14876023,0.5428573,-0.06214241,-0.050250344,-0.018968744,0.037558686
0.38016516,0.8071427,-0.0413223,-0.036860213,0.07098681,0.24413146
0.7438015,0.4785723,-0.006029213,-0.013141869,0.03409398,0.3943662
0.681818,0.1785722,0.026796024,-0.022520607,-0.010253412,0.6056338
0.45041338,0.4428576,0.029609282,-0.022392863,-0.039194625,0.7370892
0.40082648,0.37857157,-0.008159529,-0.015276024,0.08607125,0.46948355
0.19123036,0.4956354,0.021295043,-0.015741467,-0.026798824,0.7887324
0.32231376,0.6071433,0.022911873,-0.02231303,-0.07506554,0.79812205
0.9090907,0.34999993,0.03738097,0.015932094,0.040535703,0.69953054
0.64876026,0.3428572,0.0021673907,0.006184074,0.021912362,0.48826292
0.6115701,0.57142824,0.020400535,-0.029142844,0.020642769,0.8262911
0.70247924,0.6500004,0.02190418,-0.017067432,0.019184247,0.5586854
0.44214866,0.39285773,0.02995365,-0.0065473,-0.0033135405,0.63380283
0.4586777,0.4357152,0.015729843,-0.006167533,-0.029582536,0.45539907
0.30991727,0.3285714,-0.03799499,-0.016985225,-0.021410609,0.056338027
0.32231376,0.6071433,0.02552827,-0.021721652,-0.0572468,0.600939
0.3057852,0.450001,0.016604774,-0.010723462,0.10075778,0.6619718
0.3057852,0.450001,0.011147585,-0.008232303,0.13002503,0.46948355
0.32231376,0.6071433,0.008320442,-0.031424284,-0.05456057,0.31455398
0.7066114,0.25714335,0.029420108,-0.018875467,0.009736708,0.6150235
0.14876023,0.5428573,-0.051176354,-0.018909937,-0.09079876,0.30985916
0.7438015,0.4785723,-0.010250425,-0.0033200681,0.028139848,0.09859155
0.8884298,0.42857143,-0.028615339,0.0017010169,0.027050516,0.30985916
0.5991733,0.4428576,0.033484444,-0.01932977,0.049048148,0.7652582
0.57024807,0.1785729,0.014277302,-0.04852032,0.026082871,1.0
0.45454535,0.42857143,0.0024421848,-0.0068348553,0.031600177,0.91079813
0.6570246,0.42142904,0.022169335,-0.015924465,0.0047603603,0.62441313
0.50000006,0.3714285,0.023291057,-0.016814165,0.061013035,0.8028169
0.55785125,0.20000075,0.011167006,-0.007313473,0.044610795,0.6619718
0.31818148,0.5000002,0.015660692,-0.027333053,0.039979804,0.9577465
0.70247924,0.6500004,0.020508986,-0.02057494,0.017024295,0.5915493
0.41322288,0.5142856,-0.024669854,-0.012687007,0.018982505,0.31455398
0.38016498,0.5357156,-0.033825323,-0.007997554,0.011480558,0.13615024
0.0,0.6642862,0.024435641,-0.024553517,-0.07996657,0.9342723
0.8884298,0.42857143,0.017022897,-0.0031567514,0.031133326,0.8920188
0.6570246,0.42142904,0.020588083,-0.016672995,-0.005271961,0.7887324
0.45454535,0.42857143,0.0015860964,-0.009397421,0.003521115,0.08450704
0.31404954,0.65000004,0.025411619,-0.023880826,-0.03138306,0.69483566
0.23966907,0.4857147,-0.013684509,-0.027440945,-0.0015872675,0.26291078
0.31818148,0.5000002,-0.04717745,-0.019591967,0.060990807,0.21596244
0.83057845,0.057142925,-0.020328617,-0.0091548655,-0.02946086,0.17840375
0.64876026,0.3428572,0.016588757,0.005142696,0.0060708225,0.018779343
0.822314,0.47857127,-0.019375248,0.0042678025,0.047389984,0.26760563
0.58677673,0.6214291,0.023113897,-0.027143912,0.032965086,0.62441313
0.681818,0.1785722,0.0032866374,0.0061418563,-0.0061613536,0.089201875
0.39669403,1.0,0.023820791,0.0009076819,0.058465287,0.42723006
0.07437987,0.6357146,0.022047615,-0.02443423,-0.11973245,0.5117371
0.38016516,0.8071427,-0.04355073,-0.037956543,0.06937208,0.23004694
0.40495867,0.5714286,0.014654014,-0.0064040124,0.0058817016,0.52582157
0.38429734,0.42857245,-0.031811357,-0.020469757,0.039532617,0.31924883
0.18181796,0.5642855,-0.049855396,-0.054484427,0.038048744,0.103286386
0.4586777,0.4357152,0.02742632,-0.021448465,-0.025927646,0.73239434
0.46280986,0.34285754,-0.0018702317,-0.02381303,0.062929064,0.96713614
0.50000006,0.3714285,-0.0096930135,-0.02798591,0.053797077,0.5164319
0.9338841,0.5214294,-0.021230796,0.013915988,0.044022877,0.19248827
0.4917356,0.4142849,0.020566907,-0.0066587627,0.027209727,0.64319247
0.69008243,0.7000002,-0.034168705,-0.0014912486,0.04130273,0.089201875
0.47933862,0.60714364,-0.022429543,-0.007987013,-0.0027490088,0.20657277
0.30991727,0.3285714,-0.03291084,-0.021726182,-0.0038235586,0.25821596
