x,y,u_pred,v_pred,Z0,t
0.3057852,0.450001,0.016593674,-0.0076499283,0.04456922,0.5023474
0.38429734,0.42857245,-0.00078130513,-0.019252298,0.033383492,0.9953052
0.41322288,0.5142856,0.0024055028,-0.0054565985,0.048437726,0.52582157
0.38429743,0.7214288,0.0070847943,-0.010171156,0.027655022,0.38497654
0.31404963,0.60000056,0.030100036,-0.016733076,0.04383248,0.5915493
0.70247924,0.6500004,0.024119344,-0.021254458,-0.034175243,0.4460094
0.46280977,0.5571431,0.004183614,-0.0054718796,0.026229126,0.48356807
0.30991727,0.3285714,-0.043285675,-0.013835089,0.010545284,0.22065727
0.40082648,0.37857157,0.020597778,-0.0094868,0.051797155,0.52112675
0.59504145,0.40000048,0.029737353,-0.024293397,-0.0067541017,0.7370892
0.2727272,0.15000057,0.020488445,-0.0001433678,0.031301625,0.7089202
0.40495867,0.5714286,0.016280636,-0.0087331105,0.03675205,0.57276994
0.6115701,0.57142824,0.030272778,-0.017685805,-0.006389149,0.7276995
0.7066112,0.47857195,0.027994737,-0.016103288,-0.026920708,0.69953054
0.5785122,0.5642858,0.024029758,-0.021698382,0.038874812,0.7183099
0.8884298,0.42857143,-0.0076282127,0.013830405,-0.09349272,0.9483568
0.0,0.6642862,-0.04668262,-0.06592055,0.03800374,0.13615024
0.7066114,0.25714335,0.0075154398,0.0012991531,-0.02217105,0.46948355
0.7066112,0.47857195,-0.016790226,0.0017586611,-0.020729575,0.38497654
0.2727272,0.15000057,0.010034369,-0.021586295,0.020666093,0.8403756
0.2727272,0.15000057,0.02112494,-0.002385837,0.03139104,0.74647886
0.40495867,0.5714286,0.021773238,-0.012427252,0.02522853,0.7089202
0.16942155,0.47857162,0.016388135,-0.026672523,0.005645207,0.07042254
0.14876023,0.5428573,-0.034282863,-0.046311565,0.050311543,0.02347418
0.46280968,0.53571385,0.014946132,-0.0037474092,0.033159394,0.52112675
0.07437987,0.38571465,-0.0009926124,-0.027384896,0.021196501,0.061032865
0.30165294,0.44285792,-0.025963815,-0.017829191,0.007110271,0.3051643
0.29752058,0.41428596,-0.016745264,-0.018450553,0.006969528,0.14553991
0.5785122,0.5642858,-0.01902806,0.007772336,0.010206605,0.3004695
0.7272726,0.16428535,0.0030546805,-0.014732201,0.006428637,0.11737089
0.50000006,0.3714285,-0.018572466,-0.003887643,0.022781862,0.29107982
0.6570246,0.42142904,-0.03113483,0.0015075216,-0.03902364,0.23943663
0.590909,0.6428577,0.002168171,-0.019113336,-0.021648865,0.342723
0.8884298,0.42857143,0.02321017,-0.01021827,-0.06652534,0.7934272
0.3057852,0.450001,-0.034019902,-0.00087285787,0.005955399,0.22065727
0.4586778,0.257143,0.016931158,-0.02951289,-0.003048372,0.57276994
0.46280986,0.34285754,-0.026052749,-0.007957516,0.054842502,0.15492958
0.97520673,0.8999996,0.03830629,-0.018964142,0.051969647,0.69483566
0.29752058,0.41428596,0.016937474,-0.015751587,0.049440853,0.59624416
0.14876023,0.5428573,0.027284993,-0.014354257,0.04949008,0.57746476
0.6239668,0.4357152,0.019570233,-0.015529137,0.029913038,0.5399061
0.30165294,0.44285792,0.014022245,-0.037502617,0.02762955,0.8544601
0.39669403,1.0,0.038408667,-0.028774519,0.05707304,0.8262911
0.41735524,0.4928571,-0.02042608,-0.0055837054,0.019683592,0.04225352
0.19123036,0.4956354,0.012652836,-0.042813487,0.016489105,0.97183096
0.5991733,0.4428576,0.02312573,-0.02225677,0.056550473,0.58685446
0.8264462,0.5928571,0.03365109,-0.013677483,-0.039021146,0.75586855
0.45454535,0.42857143,-0.020461049,-0.0049361363,0.023068622,0.33333334
0.19123036,0.4956354,-0.025850499,-0.01817825,0.01811587,0.23474178
0.6652892,0.357143,0.021847302,-0.03590613,-0.031525165,0.8826291
0.46280968,0.53571385,0.024090027,-0.012800418,0.027472144,0.7276995
0.19008258,0.5214287,-0.035068028,-0.025462087,0.00636565,0.15962441
0.65289235,0.7285712,-0.011267187,0.012287365,-0.036938883,0.3568075
0.8264462,0.5928571,-0.018103072,0.012942285,-0.016480537,0.31924883
0.6239668,0.4357152,0.008476565,-0.003818755,0.0074421964,0.38967136
0.19123036,0.4956354,-0.018622143,-0.018772619,0.018296855,0.33333334
0.58264464,0.58571404,0.024515063,-0.020835062,0.0028418265,0.8028169
0.7438015,0.4785723,0.019804507,-0.023377594,-0.0012655143,0.6103286
0.32231376,0.6071433,0.029883701,-0.012942286,0.03556892,0.52112675
0.3677686,0.3928574,-0.019837618,-0.020085078,0.00092240085,0.27230048
0.41735524,0.4928571,0.011078298,-0.011501566,0.0043348866,0.46478873
0.6652892,0.357143,-0.0075111454,0.0035804654,-0.011643061,0.065727696
0.7438015,0.4785723,0.019750576,-0.019633742,-0.0021460801,0.5539906
0.6239668,0.4357152,0.009945618,-0.0033769729,0.002642001,0.37089202
0.19008258,0.5214287,0.025178734,-0.018282603,0.022228092,0.7699531
0.59504145,0.40000048,0.0015558293,-0.016427936,-0.020809641,0.40375587
0.5289253,0.4928571,-0.020048201,-0.016725142,0.010924308,0.29107982
0.5950412,0.31428593,0.026756441,-0.02212495,-0.020620124,0.8028169
0.53305775,0.5571431,-0.01716526,-0.003195825,-0.008210969,0.3802817
0.7272726,0.16428535,0.02806591,-0.031446744,-0.046766333,0.74178404
0.26446256,0.4785723,0.010464491,-0.029857565,-0.0026324005,0.6760563
0.7066112,0.47857195,-0.023981053,-0.0029344503,-0.014783772,0.30985916
0.76859474,0.44285792,0.017125579,-0.032003317,0.01275282,0.685446
0.42148742,0.47857162,-0.015441997,0.00061309524,0.04501629,0.09859155
0.5785122,0.5642858,-0.02661104,-0.0024088835,0.002807884,0.21596244
0.31818148,0.5000002,-0.033388473,-0.003189114,0.03947585,0.40375587
0.8553717,0.5785706,0.012483448,-0.0203871,-0.029543888,0.5915493
0.41735524,0.4928571,0.001880547,-0.03858673,0.016655741,1.0
0.590909,0.6428577,-0.0028020144,-0.01771231,-0.0033979136,0.056338027
0.38429743,0.7214288,0.029849032,-0.017052682,0.03606833,0.600939
0.2727272,0.15000057,0.01099019,-0.019826684,0.022693848,0.8309859
0.30991727,0.3285714,-0.024273233,-0.011526369,0.015194605,0.41784036
0.8553717,0.5785706,-0.0015312331,0.0066557066,-0.009154139,0.4741784
0.07437987,0.6357146,0.04339858,-0.030849889,0.014514578,0.69014084
0.16942136,0.17142911,-0.014260398,0.00855317,0.038399994,0.43192488
0.9338841,0.5214294,0.023821872,-0.023935948,-0.079343185,0.8450704
0.8884295,0.41428664,0.021120477,-0.03514158,-0.0077835503,0.62441313
0.45454535,0.42857143,0.012498487,-0.019283472,0.04209127,0.657277
0.45454535,0.42857143,-0.015354566,-2.8757378e-05,0.021775741,0.9859155
0.38016498,0.5357156,-0.028504057,0.0044272044,0.017293125,0.22065727
0.97520673,0.8999996,-0.01825098,0.019973818,-0.018579766,0.3802817
0.31404963,0.60000056,0.028185356,-0.015969176,0.03895509,0.69953054
